"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-03-31,61639,"10025","NY","New York","New York","New York",0,1154800,0.00496040379427378,0.0116513359614542,0.0630580870845991,0.0935610100191846,0.0508101700007446,"2015-08","2015-Q3",1241400,-0.0697599484453037,"2015-06"
2016-03-31,84654,"60657","IL","Chicago","Cook","Chicago",1,302800,0,0.00132275132275132,-0.0143229166666667,0.00937281900671882,-0.00563383943043061,"2006-01","2006-Q1",321900,-0.0593351972662318,"2005-01"
2016-03-31,84616,"60614","IL","Chicago","Cook","Chicago",2,371300,-0.00241805480924234,-0.00295381310418904,-0.0138114209827357,0.012871368812627,-0.00340946344972481,"2007-09","2007-Q3",394700,-0.0592855333164429,"2005-01"
2016-03-31,93144,"79936","TX","El Paso","El Paso","El Paso",3,111000,0,0,-0.0062667860340197,-0.00356515317617034,0.00634183199783811,"2007-12","2007-Q4",131000,-0.152671755725191,"2006-07"
2016-03-31,91733,"77084","TX","Houston","Harris","Houston",4,148600,0.00405405405405405,0.0108843537414966,0.0667623833452979,0.063164085755522,0.017771010843364,"2016-03","2016-Q1",148600,0,"2016-03"
2016-03-31,84640,"60640","IL","Chicago","Cook","Chicago",5,187600,-0.00318809776833156,-0.011070110701107,-0.031491997934951,-0.00952949344728848,-0.0208495498781595,"2007-05","2007-Q2",235900,-0.204747774480712,"2002-06"
2016-03-31,97564,"94109","CA","San Francisco","San Francisco","San Francisco",6,1133700,-0.00228812813517557,0.01549623790756,0.0931443448076367,0.105725865210026,0.0378900765198826,"2015-09","2015-Q3",1143700,-0.00874355163067238,"2015-09"
2016-03-31,62037,"11226","NY","New York","Kings","New York",7,573800,0.00684330584313037,-0.00416522040958001,0.0683299199404208,0.089434227683167,0.0412527873651594,"2015-11","2015-Q4",579900,-0.0105190550094844,"2015-11"
2016-03-31,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",8,282900,0.00855614973262032,0.0294759825327511,0.137972646822204,0.0919856090348192,0.0389270821830872,"2016-03","2016-Q1",282900,0,"2016-03"
2016-03-31,91940,"77449","TX","Houston","Harris","Cypress",9,151400,-0.00131926121372032,0.0046449900464499,0.0752840909090909,0.0636634046287088,0.0174890570593946,"2016-02","2016-Q1",151600,-0.00131926121372032,"2016-01"
2016-03-31,61630,"10016","NY","New York","New York","New York",10,1014600,0.00366010485705807,-0.00792021120563215,0.0179592655764021,0.0880665694050455,0.0403994993896779,"2015-08","2015-Q3",1120300,-0.0943497277514951,"2015-06"
2016-03-31,71831,"32162","FL","The Villages","Sumter","The Villages",11,244100,0.00164136233073451,0.00370065789473684,-0.0192848533547609,0.0421199430057988,0.00697914191939297,"2006-12","2006-Q4",253300,-0.0363205684958547,"2006-08"
2016-03-31,91982,"77494","TX","Houston","Fort Bend","Cinco Ranch",12,319300,-0.000938673341677096,0.00408805031446541,0.0224143451809158,0.0634085925887904,0.0436907137311222,"2016-02","2016-Q1",319600,-0.000938673341677096,"2016-02"
2016-03-31,62045,"11235","NY","New York","Kings","New York",13,451500,0.00288760550866282,0.00691347011596789,0.0226500566251416,0.0146175637738384,0.0208263230957042,"2016-03","2016-Q1",451500,0,"2016-03"
2016-03-31,84646,"60647","IL","Chicago","Cook","Chicago",14,284700,0.00281789362451567,0.00957446808510638,0.037536443148688,0.0278201746033075,-0.00731863178343928,"2006-07","2006-Q3",309600,-0.0804263565891473,"2005-07"
2016-03-31,96107,"90250","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Hawthorne",15,517500,0.00700525394045534,0.020307570977918,0.0670103092783505,0.0755191169487621,-0.00531015930632606,"2006-07","2006-Q3",549900,-0.0589198036006547,"2005-09"
2016-03-31,74242,"37211","TN","Nashville","Davidson","Nashville",16,191800,0.00841219768664564,0.0367567567567568,0.168087697929354,0.0710212692995524,0.0322771603289105,"2016-03","2016-Q1",191800,0,"2016-03"
2016-03-31,74101,"37013","TN","Nashville","Davidson","Nashville",17,162300,0.0074487895716946,0.0291693088142042,0.121630960608155,0.0514364627948258,0.013095451600188,"2016-03","2016-Q1",162300,0,"2016-03"
2016-03-31,84620,"60618","IL","Chicago","Cook","Chicago",18,326400,0.000306466441924609,0.00461680517082179,0.0508692852543464,0.037671935841024,-0.00457047703882918,"2006-11","2006-Q4",349600,-0.0663615560640732,"2005-07"
2016-03-31,61703,"10128","NY","New York","New York","New York",19,1132400,0.000176647235470765,-0.00176304654442877,0.0461936437546194,0.0616853680769858,0.0367804079364284,"2015-09","2015-Q3",1183800,-0.0434194965365771,"2015-08"
2016-03-31,69816,"28269","NC","Charlotte","Mecklenburg","Charlotte",20,162300,0.00247066090179123,0.0105853051058531,0.0437299035369775,0.0372139893293031,0.00624762333758277,"2016-03","2016-Q1",162300,0,"2016-03"
2016-03-31,93123,"79912","TX","El Paso","El Paso","El Paso",21,170500,0.00294117647058824,0.010669828097214,0.0227954409118176,-0.0149103065736484,0.00371099592537183,"2010-11","2010-Q4",198100,-0.139323573952549,"2006-06"
2016-03-31,71067,"30349","GA","Atlanta","Clayton","Riverdale",22,101500,0.0129740518962076,0.0463917525773196,0.137892376681614,0.0725856939600655,-0.0330874516542511,"2006-04","2006-Q2",142300,-0.286718200983837,"1999-11"
2016-03-31,96027,"90046","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",23,1225000,0.00475721784776903,0.0160072986646761,0.0536728023395837,0.0887627454126718,0.0208900126261444,"2016-03","2016-Q1",1225000,0,"2016-03"
2016-03-31,92036,"77573","TX","Houston","Galveston","League City",24,216000,0.00558659217877095,0.0065237651444548,0.0557184750733138,0.0337143193005043,0.0231588359888719,"2016-03","2016-Q1",216000,0,"2016-03"
2016-03-31,97771,"94565","CA","San Francisco","Contra Costa","Pittsburg",25,343400,0.00733352889410384,0.0334035510081252,0.112767336357745,0.15071598749677,-0.0306278602289972,"2005-12","2005-Q4",469800,-0.269050659855258,"2004-05"
2016-03-31,61802,"10462","NY","New York","Bronx","New York",26,112700,0.010762331838565,0.0425531914893617,0.0712927756653992,0.0007113647602488,,"2010-02","2010-Q1",118700,-0.050547598989048,
2016-03-31,61796,"10456","NY","New York","Bronx","New York",27,263600,0.00419047619047619,0.0130668716372022,0.0111238971998466,0.0168262109578399,-0.00483836563288886,"2008-07","2008-Q3",305600,-0.137434554973822,"2007-10"
2016-03-31,92045,"77584","TX","Houston","Brazoria","Pearland",28,221100,0.00363141171130277,0.0118993135011442,0.0660559305689489,0.0493196219095136,0.0187038761102942,"2016-03","2016-Q1",221100,0,"2016-03"
2016-03-31,90654,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",29,163100,0.0030750307503075,0.0161993769470405,0.102027027027027,0.0679653759036367,0.0157526764548579,"2016-03","2016-Q1",163100,0,"2016-03"
2016-03-31,84615,"60613","IL","Chicago","Cook","Chicago",30,191500,0.000522466039707419,-0.00104329681794471,-0.00931195033626487,-0.0132430654618573,-0.0203033682625636,"2005-04","2005-Q2",240000,-0.202083333333333,"2001-09"
2016-03-31,66843,"21234","MD","Baltimore","Baltimore","Parkville",31,193700,0.0015511892450879,0.00990615224191867,0.0025879917184265,0.00803740929155938,-0.00996329671776719,"2007-07","2007-Q3",225400,-0.140638864241349,"2005-07"
2016-03-31,66133,"20009","DC","Washington","District of Columbia","Washington",32,518900,-0.000385282219225583,0.00251159196290572,0.0160563931858234,0.0385904529810486,0.0117261474366801,"2016-02","2016-Q1",519100,-0.000385282219225583,"2016-02"
2016-03-31,84630,"60629","IL","Chicago","Cook","Chicago",33,140100,0.00502152080344333,0.00718907260963336,0.0385470719051149,0.0248808202892032,-0.047824073736795,"2006-07","2006-Q3",232900,-0.398454272219837,"2002-06"
2016-03-31,84627,"60625","IL","Chicago","Cook","Chicago",34,261700,0.00153080750095675,0.015916149068323,0.0685994283380972,0.0168702145550554,-0.0134668165011415,"2007-10","2007-Q4",307300,-0.148389196225187,"2004-08"
2016-03-31,70829,"30044","GA","Atlanta","Gwinnett","Lawrenceville",35,150100,0.00670690811535882,0.0266757865937072,0.0964207450693937,0.0647185311936691,-0.00717059238909046,"2007-02","2007-Q1",164400,-0.0869829683698297,"2002-12"
2016-03-31,86026,"63376","MO","St. Louis","Saint Charles","Saint Peters",36,173700,0.00230813618003462,0.011648223645894,0.085625,0.0300483268706768,-0.00355637881557724,"2007-03","2007-Q1",186800,-0.0701284796573876,"2005-03"
2016-03-31,66126,"20002","DC","Washington","District of Columbia","Washington",37,549300,0.0025552108048914,0.0174106315984442,0.0768476769260929,0.103959035570198,0.0359373273593262,"2016-03","2016-Q1",549300,0,"2016-03"
2016-03-31,62023,"11212","NY","New York","Kings","New York",38,317600,-0.000943692985215477,-0.0115157173980703,0.0169708613512648,0.00170897889601052,-0.00508173276391988,"2008-07","2008-Q3",388100,-0.181654212831744,"2006-01"
2016-03-31,74126,"37042","TN","Clarksville","Montgomery","Clarksville",39,121600,0,0.0033003300330033,0.015025041736227,0.0129913682242364,0.0206715089782628,"2016-01","2016-Q1",121700,-0.000821692686935086,"2016-01"
2016-03-31,62012,"11201","NY","New York","Kings","New York",40,1054400,0.00247195284274577,-0.0172429862988163,0.102121877286506,0.11254886834911,0.0950683174943305,"2015-12","2015-Q4",1072900,-0.0172429862988163,"2015-10"
2016-03-31,90823,"75287","TX","Dallas-Fort Worth","Dallas","Dallas",41,284600,0.00814736096351399,0.0330308529945554,0.127575277337559,0.0652299264041438,0.0273951411374709,"2016-03","2016-Q1",284600,0,"2016-03"
2016-03-31,92551,"78613","TX","Austin","Williamson","Cedar Park",42,249900,0.00200481154771451,0.00644381796214257,0.0931758530183727,0.060045209258816,0.0352684301069173,"2016-03","2016-Q1",249900,0,"2016-03"
2016-03-31,94748,"85032","AZ","Phoenix","Maricopa","Phoenix",43,217600,0.00415320719889248,0.0187265917602996,0.107942973523422,0.118864312943364,-0.0185095910960366,"2006-04","2006-Q2",262900,-0.172308862685432,"2005-07"
2016-03-31,62025,"11214","NY","New York","Kings","New York",44,550900,-0.00271542360608255,-0.00397758090761164,0.061055469953775,0.045933999994421,0.0149342682424098,"2015-12","2015-Q4",553100,-0.00397758090761164,"2015-11"
2016-03-31,91922,"77429","TX","Houston","Harris","Cypress",45,225100,0.004014272970562,0.0144209103199639,0.0523609163160355,0.0464310345252763,0.0284724375724903,"2016-03","2016-Q1",225100,0,"2016-03"
2016-03-31,91968,"77479","TX","Houston","Fort Bend","Sugar Land",46,363900,-0.00519409513395298,0.00663900414937759,0.0423947293039244,0.0625341025291042,0.0445663057883752,"2016-02","2016-Q1",365800,-0.00519409513395298,"2016-01"
2016-03-31,67732,"23464","VA","Virginia Beach","Virginia Beach City","Virginia Beach",47,238800,0,0.000838222967309304,0.00844594594594595,0.00992001043926738,-0.00998211678467464,"2006-08","2006-Q3",268300,-0.109951546775997,"2005-07"
2016-03-31,70874,"30096","GA","Atlanta","Gwinnett","Duluth",48,180900,0.00332778702163062,0.0243488108720272,0.0996960486322188,0.0471197710597262,0.000832991022133633,"2007-06","2007-Q2",185000,-0.0221621621621622,"2006-05"
2016-03-31,97711,"94501","CA","San Francisco","Alameda","Alameda",49,856100,0.00410509031198686,0.0165043932557587,0.123048668503214,0.102027001888652,0.0217298496821599,"2016-03","2016-Q1",856100,0,"2016-03"
2016-03-31,70828,"30043","GA","Atlanta","Gwinnett","Lawrenceville",50,191700,0.00313971742543171,0.0137493389740878,0.068561872909699,0.0553978551290624,0.000523150540058692,"2007-09","2007-Q3",196600,-0.0249237029501526,"2006-04"
2016-03-31,91726,"77077","TX","Houston","Harris","Houston",51,306500,0.00327332242225859,-0.00454693082169536,0.0989602007888132,0.0783495301315518,0.0503154754797921,"2015-12","2015-Q4",307900,-0.00454693082169536,"2015-11"
2016-03-31,62039,"11229","NY","New York","Kings","New York",52,550900,0.00273025118310885,-0.00649233543733093,0.0688785409390764,0.0318352801811859,0.00387511872505186,"2015-12","2015-Q4",554500,-0.00649233543733093,"2015-11"
2016-03-31,84621,"60619","IL","Chicago","Cook","Chicago",53,120500,0.00668337510442774,0.0220525869380831,0.0168776371308017,-0.0098279383969615,-0.030173969087625,"2007-08","2007-Q3",175000,-0.311428571428571,"2003-06"
2016-03-31,60545,"07030","NJ","New York","Hudson","Hoboken",54,667300,0.00330777326717787,0.0208046504512773,0.115140374331551,0.074221636147594,0.0276309907021166,"2016-03","2016-Q1",667300,0,"2016-03"
2016-03-31,97565,"94110","CA","San Francisco","San Francisco","San Francisco",55,1223800,-0.00244538637104663,-0.00504065040650407,0.0437526652452026,0.118976060769497,0.0430884327316232,"2015-09","2015-Q3",1243800,-0.0160797555877151,"2015-07"
2016-03-31,92271,"78130","TX","San Antonio","Comal","New Braunfels",56,181700,0.00165380374862183,0.0100055586436909,0.0707130229817325,0.0344414480160131,0.0256112862466005,"2016-03","2016-Q1",181700,0,"2016-03"
2016-03-31,72442,"33139","FL","Miami-Fort Lauderdale","Miami-Dade","Miami Beach",57,409800,0.00613798183157378,0.0250125062531266,0.100429645542428,0.132581191012766,0.0175976815017993,"2016-03","2016-Q1",409800,0,"2016-03"
2016-03-31,96015,"90034","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",58,972400,0.00652106407204223,0.0285593399619209,0.138375087801452,0.0827292555347972,0.019414521501723,"2016-03","2016-Q1",972400,0,"2016-03"
2016-03-31,90795,"75243","TX","Dallas-Fort Worth","Dallas","Dallas",59,151200,0.00934579439252336,0.0363262508567512,0.145454545454545,0.0588506119775938,0.0176747915644275,"2016-03","2016-Q1",151200,0,"2016-03"
2016-03-31,77007,"44107","OH","Cleveland","Cuyahoga","Lakewood",60,137900,0.00436999271667881,0.0132255694342395,0.0624036979969183,0.0366266207833856,0.00272345791790851,"2016-03","2016-Q1",137900,0,"2016-03"
2016-03-31,72463,"33160","FL","Miami-Fort Lauderdale","Miami-Dade","Sunny Isles Beach",61,343900,0.00174774249927177,0.0144542772861357,0.0620753551575046,0.110749804431233,-0.00985418119729087,"2006-08","2006-Q3",402700,-0.146014402781227,"2005-09"
2016-03-31,96025,"90044","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",62,331700,0.00181214134702507,0.00851322590453025,0.0752025931928687,0.0975169604241535,-0.0169898419840137,"2007-04","2007-Q2",432100,-0.232353621846795,"2005-06"
2016-03-31,62088,"11377","NY","New York","Queens","New York",63,406500,0.000246062992125984,0.0211002260738508,0.137062937062937,0.0425166627598212,0.0321961010324145,"2004-04","2004-Q2",424300,-0.0419514494461466,"2004-01"
2016-03-31,89925,"73099","OK","Oklahoma City","Canadian","Yukon",64,155300,0.000644329896907216,0.00582901554404145,0.0123859191655802,0.0441979330520441,0.0278481175760115,"2016-03","2016-Q1",155300,0,"2016-03"
2016-03-31,91889,"77379","TX","Houston","Harris","Tomball",65,232300,0.000861697544161999,0.00345572354211663,0.0389087656529517,0.0487504811874813,0.0279099332456065,"2016-03","2016-Q1",232300,0,"2016-03"
2016-03-31,62044,"11234","NY","New York","Kings","New York",66,491000,0.00388468615824985,0.0174057190219644,0.0822129160238043,0.0229678958016286,0.00191409095369477,"2007-11","2007-Q4",509600,-0.0364992150706436,"2006-05"
2016-03-31,69823,"28277","NC","Charlotte","Mecklenburg","Charlotte",67,305500,0.00262553331145389,0.0132669983416252,0.0570934256055363,0.0503224847368862,0.0216078150363961,"2016-03","2016-Q1",305500,0,"2016-03"
2016-03-31,96193,"90650","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Norwalk",68,409500,0.00540142401178492,0.0194174757281553,0.0756501182033097,0.0745037862143088,-0.0149354383087735,"2006-08","2006-Q3",490100,-0.164456233421751,"2005-05"
2016-03-31,72578,"33411","FL","Miami-Fort Lauderdale","Palm Beach","Royal Palm Beach",69,244000,0.00826446280991736,0.0265039966344131,0.113646736649932,0.107415098350767,-0.0297412038517766,"2006-03","2006-Q1",330000,-0.260606060606061,"2004-11"
